"Jace, Beherrscher der Mysterien","DE","WAR",,
"Wonder","EN","EMA",,
"Lenkdrachen-Diebin","DE","LCI",,
"Sinnbild der Vorstellungskraft","DE","C18",,
"Sage of the Beyond","EN","KHC",,
"Loyaler Sceada","DE","C18",,
"Laboratory Maniac","EN","UMA",,
"Thassa's Oracle","EN","THB",,
"Funken-Doppelgänger","DE","WAR",,
"Talrand, Sky Summoner","EN","DDS",,
"Teferi's Ageless Insight","EN","M21",,
"Stechender Feuerfisch","DE","THB",,
"Rumpfbrecher-Schrecken","DE","WOC",,
"Wellenbrecher-Hippokamp","DE","THB",,
"Najade der versteckten Buchten","DE","THB",,
"Curse of Verbosity","EN","AFC",,
"Curiosity","EN","A25",,
"Schlangenauge","DE","TSP",,
"Zeugenschutz","DE","SNC",,
"Propaganda","EN","C20",,
"Coastal Piracy","EN","JMP",,
"Aufklärungsmission","DE","WOC",,
"Entdeckungen der Sippe","DE","CLB",,
"Mystic Remora","EN","ICE",,
"Wachsame Schwelle","DE","C18",,
"Jace's Sanctum","EN","C19",,
"Kumena's Awakening","EN","RIX",,
"Beacon of Tomorrows","EN","DDS",,
"Windfall","EN","IMA",,
"co","DE","WAR",,
"Flood of Tears","EN","M20",,
"Spiegelungen von Littjara","DE","WOC",,
"Drawn from Dreams","EN","M20",,
"Mind Spring","EN","C20",,
"Silbrige Untersuchung","DE","DMU",,
"Aminatous Weissagung","DE","C18",,
"Spectral Deluge","EN","KHC",,
"Time Reversal","EN","M11",,
"River's Rebuke","EN","XLN",,
"Vorzeichen","DE","C18",,
"Visionen nach Serumsgenuss","DE","5DN",,
"Solve the Equation","EN","STX",,
"Rush of Knowledge","EN","C14",,
"Ferne Melodie","DE","ZNC",,
"Errichten der Palisaden","DE","LTC",,
"Secrets of the Golden City","EN","RIX",,
"Treasure Cruise","EN","C16",,
"Echo of Eons","EN","MH1",,
"Vorherbestimmen","DE","M11",,
"Step Between Worlds","EN","OTJ",,
"Shifting Grift","EN","OTJ",,
"Unerlaubter Abtritt","DE","MKM",,
"Begründeter Zweifel","DE","MKM",,
"Hinter der Maske","DE","MKM",,
"Schlussfolgern","DE","MKM",,
"Essence Capture","EN","OTP",,
